user_id,blitz_rating
Tal_is_amazing,2164.0
Magnetograf,1175.0
Chrissthiann,1247.0
iVoguer,1665.0
juanchope039,1268.0
Herkington,2216.0
ishan007,1461.0
CelticParadise,2011.0
Alejandro_T_2010,1320.0
cheburashka15,2783.0
Garris51,1451.0
adamiva5,2383.0
vinod-vms,1469.0
cristian_viera,2042.0
jcchess15,2328.0
Zhigalko_Sergei,2733.0
Alammonjur,2204.0
vanpel84,1332.0
TheBrainCrusher,2587.0
intolerante,2003.0
jamatta,1834.0
ayulebedev1983,1753.0
nouardbdb,1261.0
karesz1h,1268.0
JELLINEK,1996.0
meisamf,1345.0
pichibart,552.0
Kamil51,2059.0
Ricardo420,1975.0
pratik88,1136.0
Itsmeanpete,1957.0
msb2,2735.0
Plmlgs99,2571.0
L-antonio,1664.0
chevalierdemalte,829.0
Jenkovich,2651.0
misswittychess,2394.0
Fred_Fertig_64,2455.0
Villi71,1364.0
hbas4530,1240.0
joaocustdiao,1448.0
Shivansh161012,1307.0
Patralgan,2114.0
