,user_id,blitz_rating,total_games_played
457,Anskil490,1511.0,969
458,Smokin555,1400.0,10359
459,Ajith330,1116.0,1195
460,PNBRQKA,1500.0,0
461,Freezenwill,2041.0,53
462,Fruehlingsschwalbe,1692.0,44
463,cat_luna,1396.0,3236
464,Omarkobe,1452.0,1569
465,Syadin,1508.0,15823
466,Ving2009,1771.0,822
467,M-Dimash,1749.0,933
468,onkamatkar,1678.0,4587
469,saraj71,1449.0,20548
470,WannaCry2017,1829.0,2724
471,Monoco,1773.0,870
472,lireuille7,1420.0,2307
473,Katonasz,1414.0,16455
474,MartiN_phl,1334.0,217
475,iro007,1476.0,10217
476,Slob112,1400.0,1675
477,Ironslayerdead,1412.0,625
478,Uhang_kincai,1688.0,112
479,Dmytro-1,1347.0,2513
480,jonadav1995,1696.0,3969
481,JMStr8,1379.0,9357
482,ALebedevGuitar,1353.0,372
483,Justdefense,2110.0,63
484,il_76-il,1213.0,10027
485,SenuASK,1470.0,657
486,vinodkedaram,1761.0,16035
487,ABC99999999,1428.0,126
488,ramin_cihangir,1315.0,3
489,vistanutzer,1500.0,0
490,ethanlebg,1393.0,2671
491,Icoorus,1151.0,157
492,amrghobara,1128.0,182
493,Tasiman,1559.0,693
494,jasurc443,1264.0,97
495,odunkutk1,1233.0,126
496,RoboGay,1181.0,1232
497,ManVanMelle,1915.0,19884
498,AT007338,955.0,79
499,Abhilash001,1352.0,1980
500,SteamPwrdAereoPawns,1749.0,26
501,RAA74,1835.0,9109
502,MIKAELW,997.0,11
503,IRMANDADE,1449.0,555
504,ObivanKenoby,1387.0,361
505,progyprog,1367.0,1843
506,stalinic,1807.0,8248
507,Caro-KannMindControl,1472.0,23
508,RRLLMM,1456.0,22347
509,Capitano181,1747.0,1059
510,MarceloBielsa33,1776.0,556
511,rghrck,1798.0,13381
512,Bruncvik,1859.0,3100
513,Soham_Kulthe,1382.0,117
514,pitagorin7,1274.0,18761
515,simone_rgm,916.0,2473
516,HighVariance,2439.0,1339
517,AKS008,1956.0,2239
518,Vlasov_Alekxandr,2504.0,1230
519,viktor39,2000.0,25665
520,at-oturtma,1092.0,47
521,HeKrOmAnT,2400.0,1922
522,pbkttc,2509.0,8552
523,aditivasudeva,1421.0,15647
524,PatushanXD,939.0,8
525,Blabub,1610.0,3726
526,Aisyahku,2333.0,0
527,heisenberg_59,1285.0,1645
528,HaRrisoN_WellS_0,2267.0,18
529,rs61,1246.0,1938
530,saharshamity,1351.0,201
531,Ali_Ardabili,1306.0,12026
532,vishnu879,1084.0,1634
533,koala122,2314.0,4821
534,o7777,2164.0,31905
535,BARBAROSALover,2043.0,5912
536,soner_iu,2554.0,70
537,Wladi-71,619.0,664
538,ian_j,2515.0,976
539,czapus,1185.0,8072
540,Karavaev74,1552.0,7
541,NAEEM600,1550.0,963
542,EykaScada,1077.0,4446
543,chhota_bachha,2110.0,374
544,awdangit,941.0,242
545,ekn_ylcn,1279.0,571
546,Los5hermanos,2362.0,32397
547,fox080,2299.0,1020
548,DARCUAMIM,2228.0,17234
549,SMi_1970,2270.0,17431
550,biokompott,1978.0,10458
551,wirsch,1192.0,5217
552,Jesscalimag,1970.0,9624
553,GCarbajal,975.0,18
554,Frizzelhautern,1404.0,2203
555,davidjguillermo,1448.0,18846
556,MemoRmz,1911.0,981
557,kabulos,1283.0,12
558,dylane33,2269.0,42578
559,Aristotele73,790.0,7
560,polish_fighter,1846.0,2653
561,KasarLooper,1235.0,149
562,jil1965,1254.0,3524
563,levchikbullet,1500.0,0
