user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count,rating_deviation
kulik7,2002.0,33.0,55.0,11.0,27.0,54.59
YUBAMACO,1650.0,50.0,50.0,0.0,24.0,93.05
bruno1m2m3,1664.0,50.0,49.0,1.0,100.0,45.22
BodyMindSoul,1735.0,50.0,50.0,0.0,100.0,45.02
MR_HBashoq,1649.0,35.0,50.0,15.0,20.0,80.03
teperto,1791.0,30.0,70.0,0.0,30.0,48.03
Andriy60,1730.0,46.0,54.0,0.0,100.0,45.99
amirshahal,1587.0,40.0,60.0,0.0,30.0,52.5
akrmakrm,1759.0,44.0,51.0,5.0,100.0,45.41
jsedano,1847.0,48.0,49.0,3.0,100.0,70.74
Uganey26rus,1438.0,56.0,44.0,0.0,100.0,45.74
Mi0091,1542.0,50.0,47.0,3.0,100.0,45.06
pejciczrn,1404.0,57.0,40.0,2.0,100.0,45.0
pooyapli1,1814.0,42.0,55.0,3.0,100.0,45.03
Gatto03,1243.0,75.0,25.0,0.0,36.0,45.05
foolsandhorses,1427.0,42.0,49.0,9.0,100.0,45.0
BillOudi,1390.0,40.0,57.0,2.0,100.0,45.08
Vadim1107,731.0,0.0,100.0,0.0,6.0,248.01
Maks633010,1445.0,53.0,37.0,10.0,100.0,45.07
David_P0,1450.0,50.0,50.0,0.0,48.0,45.64
r_117,1407.0,29.0,56.0,13.0,37.0,154.45
Brass67,1481.0,51.0,40.0,9.0,100.0,45.0
bmbarto,1432.0,45.0,52.0,3.0,100.0,45.02
potrerillos94,1892.0,61.0,31.0,8.0,100.0,45.0
AMRJ9,1015.0,42.0,56.0,1.0,100.0,45.0
blueskychess22,2105.0,66.0,27.0,7.0,100.0,0.0
hosseinhatami7595,1381.0,37.0,61.0,2.0,100.0,0.0
misos_35,1277.0,100.0,0.0,0.0,6.0,136.76
abasad1,1455.0,45.0,53.0,2.0,100.0,45.02
smailllll,1355.0,37.0,50.0,13.0,100.0,47.59
respublicano,1719.0,54.0,44.0,2.0,100.0,45.0
phuocvip1412,1461.0,16.0,66.0,16.0,18.0,80.79
estebanovitch,1569.0,51.0,47.0,2.0,100.0,50.29
DJ4Y,1137.0,56.0,42.0,2.0,100.0,45.04
estrellita05,1665.0,44.0,33.0,22.0,9.0,148.36
woody86,1736.0,57.0,41.0,1.0,100.0,45.39
klauspn,1852.0,55.0,42.0,3.0,100.0,45.01
suchetkodate,1398.0,52.0,44.0,4.0,100.0,45.11
