user_id,op_id,game_result
TURGUT_USTA,Hariospeedwagon,-1
Ritu01,paviyuva,-1
abhinavasharma,eemraan,1
cinartura,peter-51_11,-1
ForzaMilan87,lyes47,-1
Royz8,Pavel1374090,-1
N-Lamok,yuyun5,-1
Ujwal_bhasin09,RonHei,-1
POP1983,vavke,-1
Kyan_Amarasinghe,A_0X_KING,1
subir070,Davi_Tkm,1
Ghaghnoos,Pikachurra,-1
denis20-06-1984,Idstaaner,-1
harryhonor,iveselkov,-1
cash_tournaments2023,Esse3Erre2,0
Kabirbaweja,dannyjay,1
CA73,zoltran1,1
romain_0703,Alexzen777,1
bagis2,SergeyB123,1
schach999,sinou98,-1
kuber88,Ruben62,1
Cuidadu,Fozmeh,-1
mariomarcelo33,RocketDaddy,-1
kasbarov2024,Samxalov,-1
Kal1ns,armen63,-1
wolle9,DIEGUS09,-1
anirudh453,Vultur777,-1
twowaycheckback,BiggieM3,-1
vasyatko,Andrejtim,1
EXB8612,UgoNwaKay,0
julz1,Natsbank,-1
MussaO6,Leorra,1
kleball,alexolll57,1
Omaralkholy,David_Khubulov,-1
CHIEAK,andrewelpedes,-1
ysmngnds,msokhanlatif,-1
Kuhle_Fulane,Raphael102,-1
dincersrn,stephs_illustra,-1
Rimi95,Karasvareniy11,1
NorthBZDN,AttemptTheSteal,1
jazdaztematem12,Randale,1
Panguinoso,sSeba12223,1
smurfy,sommerogsol,1
DINAN5678,JADE-SED,1
ikromjon555,,401
ChiefGago,,401
aminought,acratak,-1
Sibernoff,TomJerry20,0
