user_id,win_streak_current,win_streak_max,loss_streak_current,loss_streak_max
BanaleKralen,0.0,8.0,3.0,10.0
Mohamed_AL_Shaqiri,2.0,11.0,0.0,8.0
explosionbrainchess,0.0,8.0,1.0,5.0
strided,3.0,7.0,0.0,8.0
zehnebartar_club,0.0,15.0,3.0,7.0
Emrey1lmaz,0.0,10.0,1.0,7.0
ALONGUS,0.0,27.0,1.0,10.0
fastblitzer_cgn,4.0,16.0,0.0,9.0
alessandrocarvalhaes,3.0,16.0,0.0,17.0
alshaib1962,0.0,10.0,1.0,9.0
kars78,0.0,13.0,5.0,11.0
Jf_The_Best,0.0,4.0,6.0,37.0
IVRazor_MyJL,2.0,7.0,0.0,4.0
kirillun1027,2.0,6.0,0.0,4.0
IhmeSaataja,2.0,8.0,0.0,10.0
Ssundee2130,0.0,3.0,0.0,3.0
Lambo1966,2.0,9.0,0.0,45.0
ie1,1.0,17.0,0.0,10.0
ilpignatore07,1.0,12.0,0.0,8.0
