user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
Krof-zg,1,0.0,0.0,0.0,0.0,41.27,53.968,4.762,63.0,41.935,53.226,4.839,62.0,B01,D00,A07,A48,0.327,0.404,0.269,0.239,0.224,0.522,251.0
mariovalenciaa,-1,59.0,34.0,7.0,100.0,58.065,37.097,4.839,62.0,47.619,46.032,6.349,63.0,B00,A40,C44,C22,0.348,0.485,0.167,0.25,0.635,0.115,296.0
Walting,-1,66.0,34.0,0.0,100.0,76.364,23.636,0.0,55.0,75.714,17.143,7.143,70.0,B01,A45,E12,B06,0.2,0.642,0.147,0.28,0.6,0.12,242.0
San7D,0,52.0,46.0,2.0,100.0,47.458,52.542,0.0,59.0,50.0,46.97,3.03,66.0,C50,A40,C48,C28,0.164,0.475,0.328,0.242,0.613,0.145,234.0
batvadyur,-1,62.0,31.0,7.0,100.0,58.462,32.308,9.231,65.0,53.333,36.667,10.0,60.0,B20,B40,B21,B01,0.157,0.543,0.271,0.233,0.651,0.116,379.0
echo_liberty,-1,50.0,46.0,4.0,100.0,49.206,46.032,4.762,63.0,46.774,50.0,3.226,62.0,B50,B20,A15,B45,0.333,0.5,0.117,0.35,0.317,0.3,293.0
cheesemaster9000,-1,54.0,44.0,2.0,100.0,54.839,43.548,1.613,62.0,60.317,38.095,1.587,63.0,A40,C55,B12,C24,0.181,0.639,0.167,0.118,0.863,0.02,266.0
chouiomd,1,0.0,0.0,0.0,0.0,42.188,54.688,3.125,64.0,42.623,47.541,9.836,61.0,C50,C44,D02,B51,0.226,0.604,0.113,0.172,0.766,0.047,316.0
ignaciofdez,1,45.0,53.0,2.0,100.0,47.619,49.206,3.175,63.0,43.548,56.452,0.0,62.0,B22,B12,C64,C70,0.246,0.561,0.175,0.152,0.727,0.106,517.0
GoVegan70,0,45.0,52.0,3.0,100.0,39.344,55.738,4.918,61.0,50.0,45.312,4.688,64.0,B01,A04,D07,A06,0.107,0.714,0.179,0.048,0.508,0.444,428.0
grandma_moses,1,56.0,40.0,4.0,100.0,62.5,32.812,4.688,64.0,45.902,52.459,1.639,61.0,B10,B12,A05,A43,0.25,0.632,0.074,0.208,0.679,0.113,415.0
ohnomyqueem,-1,0.0,0.0,0.0,0.0,54.839,40.323,4.839,62.0,53.968,42.857,3.175,63.0,C40,A40,C25,B32,0.235,0.456,0.294,0.346,0.442,0.192,246.0
jdas25,-1,64.0,35.0,0.0,42.0,57.895,40.351,1.754,57.0,39.706,57.353,2.941,68.0,B27,A10,D06,A43,0.2,0.567,0.233,0.71,0.194,0.065,605.0
AntoshaChehonte,-1,57.0,39.0,3.0,100.0,59.677,38.71,1.613,62.0,61.905,31.746,6.349,63.0,A00,B01,A42,A41,0.355,0.263,0.382,0.523,0.409,0.068,256.0
MikhailEvgenievichnn,-1,61.0,34.0,5.0,100.0,65.625,31.25,3.125,64.0,59.016,34.426,6.557,61.0,C50,C54,C52,C63,0.231,0.513,0.218,0.39,0.439,0.171,368.0
Mohamedzaidi,-1,55.0,43.0,2.0,100.0,50.794,46.032,3.175,63.0,50.0,48.387,1.613,62.0,C20,C41,C37,A01,0.206,0.587,0.206,0.305,0.525,0.153,399.0
KomisSR,-1,43.0,55.0,2.0,100.0,43.75,54.688,1.562,64.0,42.623,54.098,3.279,61.0,B00,C50,C00,A48,0.278,0.352,0.185,0.191,0.029,0.765,258.0
Kovinkin,1,45.0,52.0,3.0,100.0,33.333,58.73,7.937,63.0,53.226,43.548,3.226,62.0,B00,B20,A02,C02,0.167,0.556,0.259,0.234,0.328,0.438,449.0
